"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.67","44.88","BIG CHUTE","6110731","1972-01-01","1972","01","01","","-0.6","","-13.9","","-7.3","","25.3","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-02","1972","01","02","","2.2","","-3.3","","-0.6","","18.6","","0.0","","0.0","","6.4","","6.4","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-03","1972","01","03","","0.6","","-1.7","","-0.6","","18.6","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-04","1972","01","04","","-4.4","","-6.7","","-5.6","","23.6","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-05","1972","01","05","","-8.9","","-21.7","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-06","1972","01","06","","-1.7","","-21.1","","-11.4","","29.4","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-07","1972","01","07","","-0.6","","-7.8","","-4.2","","22.2","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-08","1972","01","08","","2.8","","-24.4","","-10.8","","28.8","","0.0","","0.0","","1.0","","1.0","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-09","1972","01","09","","4.4","","-8.9","","-2.3","","20.3","","0.0","","0.3","","0.0","","0.3","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-10","1972","01","10","","6.1","","-3.3","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-11","1972","01","11","","2.2","","-1.1","","0.6","","17.4","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-12","1972","01","12","","2.8","","-1.1","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-13","1972","01","13","","3.9","","-1.1","","1.4","","16.6","","0.0","","0.0","T","5.1","","5.1","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-14","1972","01","14","","-3.3","","-25.6","","-14.5","","32.5","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-15","1972","01","15","","-6.7","","-17.8","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-16","1972","01","16","","-8.9","","-35.6","","-22.3","","40.3","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-17","1972","01","17","","0.6","","-15.6","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-18","1972","01","18","","5.6","","-8.9","","-1.7","","19.7","","0.0","","7.6","","0.0","","7.6","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-19","1972","01","19","","-3.3","","-5.6","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-20","1972","01","20","","-2.2","","-6.7","","-4.5","","22.5","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-21","1972","01","21","","-5.6","","-24.4","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-22","1972","01","22","","6.1","","-12.8","","-3.4","","21.4","","0.0","","8.9","","0.0","","8.9","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-23","1972","01","23","","0.0","","-3.3","","-1.7","","19.7","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-24","1972","01","24","","-3.3","","-11.7","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-25","1972","01","25","","4.4","","-6.7","","-1.2","","19.2","","0.0","","0.0","","8.9","","8.9","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-26","1972","01","26","","-9.4","","-20.0","","-14.7","","32.7","","0.0","","0.0","","22.9","","22.9","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-27","1972","01","27","","-3.9","","-17.8","","-10.9","","28.9","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-28","1972","01","28","","-1.1","","-9.4","","-5.3","","23.3","","0.0","","0.0","","22.9","","22.9","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-29","1972","01","29","","0.0","","-20.0","","-10.0","","28.0","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-30","1972","01","30","","-4.4","","-20.0","","-12.2","","30.2","","0.0","","0.0","","17.8","","17.8","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-01-31","1972","01","31","","-5.6","","-15.6","","-10.6","","28.6","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-01","1972","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-02","1972","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-03","1972","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-04","1972","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-05","1972","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-06","1972","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-07","1972","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-08","1972","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-09","1972","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-10","1972","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-11","1972","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-12","1972","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-13","1972","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-14","1972","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-15","1972","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-16","1972","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-17","1972","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-18","1972","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-19","1972","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-20","1972","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-21","1972","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-22","1972","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-23","1972","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-24","1972","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-25","1972","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-26","1972","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-27","1972","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.67","44.88","BIG CHUTE","6110731","1972-02-28","1972","02","28","","","","","","","","","","","","","","","","","","","","","","",""
