"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-01","1972","01","01","","-1.1","","-17.8","","-9.5","","27.5","","0.0","","0.0","","3.6","","3.6","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-02","1972","01","02","","-0.6","","-2.8","","-1.7","","19.7","","0.0","","0.0","","12.7","","12.7","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-03","1972","01","03","","-2.2","","-7.2","","-4.7","","22.7","","0.0","","0.0","","6.1","","6.1","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-04","1972","01","04","","-6.1","","-10.6","","-8.4","","26.4","","0.0","","0.0","","1.0","","1.0","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-05","1972","01","05","","-15.0","","-24.4","","-19.7","","37.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-06","1972","01","06","","-5.6","","-24.4","","-15.0","","33.0","","0.0","","0.0","","3.0","","3.0","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-07","1972","01","07","","-2.2","","-10.0","","-6.1","","24.1","","0.0","","0.0","","6.1","","6.1","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-08","1972","01","08","","0.6","","-29.4","","-14.4","","32.4","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-09","1972","01","09","","1.1","","-15.6","","-7.3","","25.3","","0.0","","5.1","E","2.0","","7.1","E","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-10","1972","01","10","","4.4","","-6.1","","-0.9","","18.9","","0.0","","0.0","","0.5","","0.5","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-11","1972","01","11","","0.0","","-3.3","","-1.7","","19.7","","0.0","","0.0","","3.6","","3.6","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-12","1972","01","12","","2.8","","-8.3","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-78.85","45.33","ALGONQUIN PARK WEST","6080193","1972-01-13","1972","01","13","","3.3","","-12.2","","-4.5","","22.5","","0.0","","0.0","","8.6","","8.6","","","","","","",""
